[INF] 2022-11-10 21:09:14	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:14	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:14	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:14	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:18	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:18	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:18	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:18	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:18	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:22	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:22	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:22	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:22	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:22	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:26	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:26	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:26	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:26	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:26	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:30	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:30	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:30	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:30	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:30	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:34	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:34	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:34	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:34	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:34	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:38	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:38	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:38	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:38	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:38	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:42	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:42	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:42	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:42	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:42	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:46	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:46	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:46	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:46	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:46	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:50	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:50	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:50	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:50	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:50	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:54	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:54	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:54	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:54	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:54	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:09:58	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:09:58	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:09:58	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:09:58	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:09:58	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:02	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:02	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:02	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:02	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:02	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:06	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:06	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:06	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:06	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:06	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:10	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:10	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:10	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:10	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:10	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:14	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:14	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:14	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:14	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:14	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:18	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:18	 PINGING http://192.168.1.123:3101
[INF] 2022-11-10 21:10:18	 FOLLOWER at 192.168.1.123:3101 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[OK ] 2022-11-10 21:10:18	 UPDATED DATA ON THIS NODE!
[OK ] 2022-11-10 21:10:18	 PING RECEIVED FROM 192.168.1.123:3101
[INF] 2022-11-10 21:10:22	 MASTER at 192.168.1.123:3100 nodemap: 192.168.1.123:3100 192.168.1.123:3101
[INF] 2022-11-10 21:10:22	 PINGING http://192.168.1.123:3101
